% Model:              Piano Soundboard.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 26 2022, 11:38
% Table:              Table 1 - Global Evaluation 1
% test_x (m)                                      test_y (m)                                        freq (Hz)                                         Z_in (s/kg)                                       Impedance (1)
0.26                                              0.5285714285714285                                783.99                                            192.47990408971563                                1.8713151552185934E9-3.7681398943857303E9i
0.26                                              0.6142857142857142                                349.23                                            191.01690038664165                                1.15580322944045E9+3.3619129986404705E9i
0.26                                              0.6142857142857142                                440                                               206.37226063519114                                6.907250717688728E9+1.9647556598229248E10i
0.26                                              0.6142857142857142                                523.25                                            184.4694130397325                                 1.0662608072585663E9+1.289065920156474E9i
0.26                                              0.6142857142857142                                659.25                                            195.35898641107622                                9.211649045616106E8-5.787852169156443E9i
0.26                                              0.6142857142857142                                783.99                                            188.76735169319792                                1.6415666106607585E9-2.1986864657345543E9i
0.26                                              0.6999999999999998                                349.23                                            187.36400795119152                                1.1671267947052422E9+2.0218478965068147E9i
0.26                                              0.6999999999999998                                440                                               191.9915720040742                                 9.76945090677234E8-3.8553577421007166E9i
0.26                                              0.6999999999999998                                523.25                                            211.01239143392303                                3.3108906075834457E10+1.2896623093271925E10i
0.26                                              0.6999999999999998                                659.25                                            199.7845147146301                                 1.648967208924413E9-9.614585698399591E9i
0.26                                              0.6999999999999998                                783.99                                            194.65103676586173                                3.726643189597893E9-3.910673357875451E9i
0.3400000000000001                                0.1                                               349.23                                            187.19379036874298                                2.113092095143221E9-8.805781950584313E8i
0.3400000000000001                                0.1                                               440                                               191.2784004803793                                 7.253043261766148E8-3.591189038845783E9i
0.3400000000000001                                0.1                                               523.25                                            193.73334116737362                                4.842658223990609E9-4.142590545591626E8i
0.3400000000000001                                0.1                                               659.25                                            199.29204845124818                                2.5656725674722433E9-8.852990161863352E9i
0.3400000000000001                                0.1                                               783.99                                            193.71297920192407                                4.805199602707885E9-6.500066787843162E8i
0.3400000000000001                                0.18571428571428572                               349.23                                            194.8038747169699                                 4.396474066243486E8-5.480253916377789E9i
0.3400000000000001                                0.18571428571428572                               440                                               179.68082456816438                                2.9778883965913606E8-9.167685572822158E8i
0.3400000000000001                                0.18571428571428572                               523.25                                            197.78761183070745                                5.125330871116949E9-5.815093118437281E9i
0.3400000000000001                                0.18571428571428572                               659.25                                            190.9290823626235                                 7.234116100868169E8-3.4441289586260433E9i
