% Model:              HL4-Brass.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jan 8 2023, 19:21
% Dimension:          1
% Nodes:              256
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
771.5686274509803         155.10718722568362
776.0784313725491         154.31921558544934
780.5882352941177         153.5650791206149
785.0980392156863         152.83348674963105
789.6078431372549         152.115319226045
794.1176470588235         151.4035633258226
798.6274509803922         150.69401341679824
803.1372549019608         149.9874095984258
807.6470588235294         149.29454551511745
812.156862745098          148.64734902443269
816.6666666666666         148.1200781070362
821.1764705882352         147.8589902001676
825.6862745098039         148.08813406199283
830.1960784313726         149.0144816849999
834.7058823529412         150.64366375398419
839.2156862745098         152.7157424098048
843.7254901960785         154.79804829680677
848.2352941176471         156.3766895598653
852.7450980392157         157.07804657176408
857.2549019607843         156.97050344904093
861.7647058823529         156.41483502853464
866.2745098039215         155.70759084951806
870.7843137254902         154.99330911700622
875.2941176470588         154.32395444934406
879.8039215686274         153.71153657081953
884.313725490196          153.15346883162283
888.8235294117648         152.64277206065316
893.3333333333334         152.17183202100824
897.843137254902          151.7336316333701
902.3529411764706         151.32203206182794
906.8627450980392         150.93171357262338
911.3725490196078         150.55800814520958
915.8823529411765         150.19670714713223
920.3921568627451         149.8438684803222
924.9019607843137         149.49562373963732
929.4117647058823         149.14797556256553
933.9215686274509         148.79657010623652
938.4313725490196         148.4364271278647
942.9411764705882         148.0616134702944
947.4509803921569         147.664869543921
951.9607843137255         147.23729373589822
956.4705882352941         146.76853169071234
960.9803921568628         146.2491224632645
965.4901960784314         145.68092603849763
970                       145.1161751609332
974.5098039215686         144.78272638491157
979.0196078431372         145.30902503062993
983.5294117647059         147.35340928141432
988.0392156862745         150.09726865997538
992.5490196078431         151.72292331862417
997.0588235294117         151.85792153454315
1001.5686274509803        151.34902645239666
1006.0784313725491        150.7344556869818
1010.5882352941177        150.1698915449496
1015.0980392156863        149.678765671196
1019.6078431372549        149.25255850140184
1024.1176470588234        148.87805306073773
1028.627450980392         148.54359750903248
1033.1372549019607        148.23999325660856
1037.6470588235293        147.9601510388299
1042.156862745098         147.6985747276203
1046.6666666666665        147.45091661459855
1051.1764705882351        147.21363560827496
1055.6862745098038        146.98374046390722
1060.1960784313726        146.75859408149927
1064.7058823529412        146.53575914869177
1069.2156862745098        146.31287151779875
1073.7254901960785        146.08753473224996
1078.235294117647         145.85723954036
1082.7450980392157        145.61933285598656
1087.2549019607843        145.37110806337566
1091.764705882353         145.1102042576818
1096.2745098039215        144.8357901321636
1100.7843137254902        144.5517203490701
1105.2941176470588        144.27449286052624
1109.8039215686274        144.0516503326079
1114.313725490196         143.99489136901633
1118.8235294117646        144.29475157761718
1123.3333333333333        145.0771480247737
1127.8431372549019        146.09468406995492
1132.3529411764705        146.84725993312372
1136.862745098039         147.13388078841234
1141.3725490196077        147.09212365098327
1145.8823529411764        146.89914107709401
1150.3921568627452        146.65657504169212
1154.9019607843138        146.4084229170898
1159.4117647058824        146.17074525373977
1163.921568627451         145.94798167103227
1168.4313725490197        145.74012291634548
1172.9411764705883        145.54564033962941
1177.450980392157         145.36263716046886
1181.9607843137255        145.18927653196724
1186.4705882352941        145.0239207634488
1190.9803921568628        144.86516060469737
1195.4901960784314        144.7118097893108
1200                      144.5628981823805
