% Model:              HL4-Brass.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jan 7 2023, 18:02
% Dimension:          1
% Nodes:              256
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
627.2549019607843         145.57981158081407
631.7647058823529         152.3001006937732
636.2745098039215         162.8667129353493
640.7843137254902         149.53024158677349
645.2941176470588         144.11810958846837
649.8039215686274         140.6612135502136
654.313725490196          138.03528664345444
658.8235294117648         135.84145353113078
663.3333333333334         133.88538197300397
667.843137254902          132.04967269064161
672.3529411764706         130.24793715098085
676.8627450980392         128.40186263201036
681.3725490196078         126.42344200337412
685.8823529411765         124.19170704336554
690.3921568627451         121.50703783018444
694.9019607843137         117.97507852481124
699.4117647058823         112.69237936121107
703.9215686274509         106.97829996766727
708.4313725490196         113.15786327803174
712.9411764705882         118.26277913123945
717.4509803921569         121.70674672004417
721.9607843137255         124.34152183026482
726.4705882352941         126.53903526226787
730.9803921568628         128.48858870478347
735.4901960784314         130.3040266103812
740                       132.06545969987323
744.5098039215686         133.83877470164637
749.0196078431372         135.6864886122481
753.5294117647059         137.67347508287062
758.0392156862745         139.8619840935446
762.5490196078431         142.26150433203384
767.0588235294117         144.59879704205915
771.5686274509803         145.8082094177159
776.0784313725491         144.85748025372152
780.5882352941177         142.70875978862534
785.0980392156863         140.47586353510036
789.6078431372549         138.46484996674513
794.1176470588235         136.67984924762868
798.6274509803922         135.0694901838528
803.1372549019608         133.58310561019744
807.6470588235294         132.17923967519235
812.156862745098          130.82462873833515
816.6666666666666         129.49203857130652
821.1764705882352         128.15885752416438
825.6862745098039         126.80734200890343
830.1960784313726         125.42810507841907
834.7058823529412         124.03044892826512
839.2156862745098         122.6662757313983
843.7254901960785         121.47261161973397
848.2352941176471         120.70360851113321
852.7450980392157         120.63834637298335
857.2549019607843         121.3332503936506
861.7647058823529         122.55747794003551
866.2745098039215         124.02583728057338
870.7843137254902         125.56027203062227
875.2941176470588         127.08520119407488
879.8039215686274         128.58175219590495
884.313725490196          130.057235258073
888.8235294117648         131.53080106952356
893.3333333333334         133.0277467606092
897.843137254902          134.57747999728494
902.3529411764706         136.21189461524065
906.8627450980392         137.95965538537908
911.3725490196078         139.82426675239356
915.8823529411765         141.71136257800444
920.3921568627451         143.25207895743955
924.9019607843137         143.72111290763317
929.4117647058823         142.77367727682935
933.9215686274509         141.00249709775764
938.4313725490196         139.04480283988534
942.9411764705882         137.15381827261044
947.4509803921569         135.375837404606
951.9607843137255         133.69072920491246
956.4705882352941         132.06164950079534
960.9803921568628         130.44845977454833
965.4901960784314         128.80985650193753
970                       127.102668206201
974.5098039215686         125.28267010146533
979.0196078431372         123.31524183459871
983.5294117647059         121.22395118499624
988.0392156862745         119.25678234062144
992.5490196078431         118.1730684839631
997.0588235294117         118.76285021450818
1001.5686274509803        120.55734087448342
1006.0784313725491        122.65514822343934
1010.5882352941177        124.67142273306183
1015.0980392156863        126.53830673562504
1019.6078431372549        128.28094465301743
1024.1176470588234        129.94311317609038
1028.627450980392         131.5692515727896
1033.1372549019607        133.20183190627125
1037.6470588235293        134.8818056281938
1042.156862745098         136.64698881115135
1046.6666666666665        138.5206634710742
1051.1764705882351        140.46834134894087
1055.6862745098038        142.271576486938
1060.1960784313726        143.34072778068517
1064.7058823529412        143.03097250384275
1069.2156862745098        141.57120554429287
1073.7254901960785        139.69024157835128
1078.235294117647         137.79967988008303
1082.7450980392157        136.01398152114677
1087.2549019607843        134.3347612858812
1091.764705882353         132.7328207515779
1096.2745098039215        131.17370272878455
1100.7843137254902        129.62485687471622
1105.2941176470588        128.05875910395204
1109.8039215686274        126.45857379840636
1114.313725490196         124.83360885315446
1118.8235294117646        123.25688662456014
1123.3333333333333        121.93224810196058
1127.8431372549019        121.22074671344276
1132.3529411764705        121.41776585242954
1136.862745098039         122.41275574275859
1141.3725490196077        123.82692531349825
1145.8823529411764        125.36463828677383
1150.3921568627452        126.89020219111711
1154.9019607843138        128.3619922843942
1159.4117647058824        129.77757771432888
1163.921568627451         131.14713147534187
1168.4313725490197        132.48143053270442
1172.9411764705883        133.78466370079792
1177.450980392157         135.04683981238566
1181.9607843137255        136.23299739777434
1186.4705882352941        137.26997747227452
1190.9803921568628        138.04137025049167
1195.4901960784314        138.41546450305054
1200                      138.3170061483747
