% Model:              9_brass_instrument_simulation.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jan 6 2023, 14:42
% Dimension:          1
% Nodes:              256
% Expressions:        1
% Description:        Global
% freq (Hz)               |Z_in| Tube
807.6470588235294         149.7765904412046
812.156862745098          177.32498677510208
816.6666666666666         150.48142770818566
821.1764705882352         144.1714517133817
825.6862745098039         140.40026015157997
830.1960784313726         137.5942662868985
834.7058823529412         135.2613868795048
839.2156862745098         133.17198198161864
843.7254901960785         131.18701738058132
848.2352941176471         129.19875890261295
852.7450980392157         127.09854943380512
857.2549019607843         124.74387388859665
861.7647058823529         121.89567118507591
866.2745098039215         118.03183083496978
870.7843137254902         111.41799444310726
875.2941176470588         92.83260037708675
879.8039215686274         113.24421892981788
884.313725490196          118.96633762770988
888.8235294117648         122.54592719821433
893.3333333333334         125.26267365698864
897.843137254902          127.54917174078271
902.3529411764706         129.61584761011028
906.8627450980392         131.59463523420598
911.3725490196078         133.5916147057638
915.8823529411765         135.71797614656302
920.3921568627451         138.12494076469835
924.9019607843137         141.07524038650558
929.4117647058823         145.16903327767858
933.9215686274509         152.60221099383725
938.4313725490196         162.25041482803988
942.9411764705882         148.17861381532794
947.4509803921569         142.9333728522166
951.9607843137255         139.52192305552995
956.4705882352941         136.88530408943407
960.9803921568628         134.64031773961904
965.4901960784314         132.5930751065678
970                       130.61769499470319
974.5098039215686         128.60911396560357
979.0196078431372         126.4528952252246
983.5294117647059         123.98771468549653
988.0392156862745         120.9231081115365
992.5490196078431         116.56266553248688
997.0588235294117         108.04223884187294
1001.5686274509803        104.21801929485565
1006.0784313725491        115.28035089432238
1010.5882352941177        120.12676705272872
1015.0980392156863        123.38754451389107
1019.6078431372549        125.95046986079218
1024.1176470588234        128.15700620119063
1028.627450980392         130.18662359609027
1033.1372549019607        132.16000457149175
1037.6470588235293        134.18174546891413
1042.156862745098         136.37020328175674
1046.6666666666665        138.89823920466046
1051.1764705882351        142.0885555105764
1055.6862745098038        146.75629179608876
1060.1960784313726        156.777828703887
1064.7058823529412        155.5683455237994
1069.2156862745098        146.3450178379182
1073.7254901960785        141.8325258857575
1078.235294117647         138.7048551198347
1082.7450980392157        136.2079257730394
1087.2549019607843        134.03535435077566
1091.764705882353         132.0200874818833
1096.2745098039215        130.0457604336321
1100.7843137254902        128.0076108097
1105.2941176470588        125.78251470387963
1109.8039215686274        123.1842051674929
1114.313725490196         119.85171926124563
1118.8235294117646        114.81914821664647
1123.3333333333333        102.51050469872706
1127.8431372549019        108.99987116967449
1132.3529411764705        116.94241103322503
1136.862745098039         121.16657216794357
1141.3725490196077        124.17326585744095
1145.8823529411764        126.6089240029028
1150.3921568627452        128.74981458391937
1154.9019607843138        130.752101051667
1159.4117647058824        132.72851463170593
1163.921568627451         134.78450428849197
1168.4313725490197        137.0487269889254
1172.9411764705883        139.72271023613686
1177.450980392157         143.21224576429893
1181.9607843137255        148.67432727331092
1186.4705882352941        164.95906697763496
1190.9803921568628        151.82248318342087
1195.4901960784314        144.81584866209258
1200                      140.837595109673
